x,y
-4.0,0
-3.9,0
-3.8,0
-3.6999999999999997,0
-3.5999999999999996,0
-3.4999999999999996,0
-3.3999999999999995,0
-3.2999999999999994,0
-3.1999999999999993,0
-3.099999999999999,0
-2.999999999999999,0
-2.899999999999999,0
-2.799999999999999,0
-2.699999999999999,0
-2.5999999999999988,0
-2.4999999999999987,0
-2.3999999999999986,0
-2.2999999999999985,0
-2.1999999999999984,0
-2.0999999999999983,0
-1.9999999999999982,0
-1.8999999999999981,0
-1.799999999999998,0
-1.699999999999998,0
-1.5999999999999979,0
-1.4999999999999978,0
-1.3999999999999977,0
-1.2999999999999976,0
-1.1999999999999975,0
-1.0999999999999974,0
-0.9999999999999973,1
-0.8999999999999972,1
-0.7999999999999972,1
-0.6999999999999971,1
-0.599999999999997,1
-0.4999999999999969,1
-0.3999999999999968,1
-0.2999999999999967,1
-0.19999999999999662,1
-0.09999999999999654,1
3.552713678800501e-15,1
0.1000000000000032,1
0.20000000000000373,1
0.30000000000000426,1
0.4000000000000039,1
0.5000000000000036,1
0.6000000000000041,1
0.7000000000000046,1
0.8000000000000043,1
0.9000000000000039,1
1.0000000000000044,0
1.100000000000005,0
1.2000000000000046,0
1.3000000000000043,0
1.4000000000000048,0
1.5000000000000053,0
1.600000000000005,0
1.7000000000000046,0
1.8000000000000052,0
1.9000000000000057,0
2.0000000000000053,0
2.100000000000005,0
2.2000000000000055,0
2.300000000000006,0
2.4000000000000057,0
2.5000000000000053,0
2.600000000000006,0
2.7000000000000064,0
2.800000000000006,0
2.9000000000000057,0
3.000000000000006,0
3.1000000000000068,0
3.2000000000000064,0
3.300000000000006,0
3.4000000000000066,0
3.500000000000007,0
3.6000000000000068,0
3.7000000000000064,0
3.800000000000007,0
3.9000000000000075,0
4.000000000000007,0
4.100000000000007,0
4.200000000000006,0
4.300000000000008,0
4.4000000000000075,0
4.500000000000007,0
4.6000000000000085,0
4.700000000000008,0
4.800000000000008,0
4.9000000000000075,0
5.0,0
